Genus
Inosperma
Irpex
Isaria
Ischnoderma
Jahnoporus
Jansia
Junghuhnia
Kalaharituber
Kobayasia
Kretzschmaria
Kuehneromyces
Laccaria
Laccocephalum
Lachnella
Lachnum
Lacrymaria
Lactarius
Lactifluus
Lactocollybia
Laeticutis
Laetiporus
Langermannia
Lanmaoa
Lanopila
Laternea
Leccinellum
Leccinum
Lentaria
Lentinellus
Lentinula
Lentinus
Lenzites
Leotia
Lepiota
Lepista
Leratiomyces
Leucangium
Leucoagaricus
Leucocalocybe
Leucocoprinus
Leucocortinarius
Leucocybe
Leucopaxillus
Lichenomphalia
Lignosus
Limacella
Limacellopsis
Lopharia
Lycoperdon
Lyophyllum
Lysurus
Mackintoshia
Macrocybe
Macrocystidia
Macrolepiota
Mallocybe
Marasmiellus
Marasmius
Mattirolomyces
Megacollybia
Meiorganum
Melanogaster
Melanoleuca
Melastiza
Meripilus
Mesophellia
Metacordyceps
Metarhizium
Metuloidea
Microglossum
Microporus
Micropsalliota
Microstoma
Mitrula
Montagnea
Morchella
Mucidula
Mucilopilus
Multiclavula
Mutinus
Mycena
Mycenastrum
Mycetinis
Mycoclelandia
Mycoleptodonoides
Naematelia
Naucoria
Neoalbatrellus
Neoantrodiella
Neoboletus
Neobulgaria
Neoclitocybe
Neofavolus
Neolentinus
Neonothopanus
Nidula
Nigrofomes
Nigroporus
Niveoporofomes
Nothopanus
Octaviania
Omphalotus
Onnia
Onygena
Ophiocordyceps
Orbilia
Ossicaulis
Osteina
Otidea
Oudemansiella
Oxyporus
Pachyella
Pachyma
Panaeolus
Panellus
Panus
Paralepista
Parasola
Paraxerula
Parmotrema
Parvixerocomus
Paxillus
Penicilliopsis
Peniophora
Peniophorella
Penttilamyces
Perenniporia
Perenniporiopsis
Peziza
Phaeoclavulina
Phaeocollybia
Phaeolepiota
Phaeolus
Phaeomarasmius
Phaeotremella
Phallus
Phanerochaete
Phellinopsis
Phellinus
Phellodon
Phellorinia
Phillipsia
Phlebia
Phlebiopsis
Phlebopus
Pholiota
Phylloporus
Phyllotopsis
Picipes
Picoa
Piptoporellus
Pisolithus
Pistillaria
Plectania
Pleurocybella
Pleurotellus
Pleurotus
Plicaturopsis
Pluteus
Podaxis
Podoscypha
Podoserpula
Podosordaria
Podostroma
Polyozellus
Polyporus
Polypus
Ponticulomyces
Porodisculus
Poronidulus
Porostereum
Porphyrellus
Porpolomopsis
Postia
Propolis
Protostropharia
Psathyrella
Pseudoaustroboletus
Pseudoboletus
Pseudoclitocybe
Pseudocolus
Pseudocraterellus
Pseudofavolus
Pseudofistulina
Pseudogymnopilus
Pseudohydnum
Pseudoinonotus
Pseudomerulius
Pseudoplectania
Pseudosperma
Pseudotulostoma
Psiloboletinus
Psilocybe
Pterula
Pulveroboletus
Punctularia
Purpureocillium
Pycnoporellus
Pycnoporus
Pyrrhoderma
Ramalina
Ramaria
Ramariopsis
Rectipilus
Resinomycena
Resupinatus
Retiboletus
Reticularia
Rheubarbariboletus
Rhizina
Rhizochaete
Rhizocybe
Rhizopogon
Rhodocollybia
Rhodocybe
Rhodofomes
Rhodotus
Rickenella
Rickiella
Rigidoporus
Ripartitella
Ripartites
Roridomyces
Royoporus
Rubroboletus
Rugiboletus
Russula
Sagaranella
Sanghuangporus
Saproamanita
Sarcodon
Sarcodontia
Sarcomyxa
Sarcoscypha
Sarcosoma
Sarcosphaera
Schizophyllum
Scleroderma
Scleromitrula
Sclerotinia
Scorias
Scutellinia
Scutiger
Scytinopogon
Scytinostroma
Sebacina
Secotium
Septobasidium
Serpula
Shimizuomyces
Singerocybe
Skeletocutis
Sowerbyella
Sparassis
Spathularia
Spathulariopsis
Sphaerobolus
Sporisorium
Squamanita
Steccherinum
Stephensia
Stereopsis
Stereum
Strobilomyces
Strobilurus
Stromatinia
Stropharia
Suillellus
Suillus
Sutorius
Tapinella
Tarzetta
Tatraea
Tectella
Tephrocybe
Terana
Terfezia
Termitomyces
Tetrapyrgos
Thamnolia
Thamnomyces
Thelephora
Tinctoporellus
Tirmania
Tolypocladium
Tomentella
Torrubiella
Trachyderma
Trametes
Trametopsis
Trechispora
Tremella
Tremellodendropsis
Tremelloscypha
Trichaleurina
Trichaptum
Trichocoma
Trichoderma
Trichoglossum
Tricholoma
Tricholomella
Tricholomopsis
Tricholosporum
Trogia
Tropicoporus
Truncospora
Tuber
Tubosaeta
Turbinellus
Tylopilus
Typhula
Tyromyces
Umbilicaria
Urnula
Ustilago
Vascellum
Veloporphyrellus
Veluticeps
Verpa
Vibrissea
Vitreoporus
Volvaria
Volvariella
Volvopluteus
Wolfiporia
Wynnea
Wynnella
Xanthoconium
Xanthoporia
Xanthoporus
Xeroceps
Xerocomellus
Xerocomus
Xeromphalina
Xerula
Xylaria
Xylobolus
Xylodon
Zangia
Zhuliangomyces
